,Label,Predicted
0,-50.00000476837158,-51.0818886756897
1,70.0,94.49285984039307
2,-110.00000715255737,-108.77501249313354
3,40.00002861022949,46.5508770942688
4,239.99995708465576,214.34385299682617
5,320.0,284.641809463501
6,1020.0000476837158,947.5825500488281
7,499.9999475479126,454.64903831481934
8,9.999997615814209,-9.082071781158447
9,209.99998569488525,172.95534133911133
10,310.00000953674316,307.479567527771
11,-930.0,-765.9853774309158
12,140.0000524520874,140.51026821136475
13,-350.00001668930054,-358.638756275177
14,29.99997854232788,31.373507976531982
15,209.99998569488525,215.37501335144043
16,170.0000238418579,193.74472618103027
17,260.000057220459,241.2167263031006
18,829.9999904632568,853.1577062606812
19,199.99999523162842,183.7765645980835
20,-79.99997615814209,-83.0764102935791
21,199.99999523162842,186.34314060211182
22,-129.99998807907104,-115.72700023651123
23,-469.99999165534973,-461.51893615722656
24,379.999942779541,379.6195459365845
25,520.0000476837158,535.904951095581
26,70.0,42.11301326751709
27,209.99998569488525,181.29450798034668
28,-249.99999284744263,-314.4536542892456
29,180.00001430511475,173.3303737640381
30,629.999942779541,588.851637840271
31,-319.99998569488525,-311.4903497695923
32,-170.00000953674316,-167.16098070144653
33,239.99995708465576,251.5255880355835
34,-59.99999523162842,-10.28179407119751
35,50.00001907348633,63.56454610824585
36,-569.9999856948853,-548.5185313224792
37,849.9999713897705,875.029034614563
38,-259.99998331069946,-261.64000511169434
39,129.99994277954102,149.7417163848877
40,280.00003814697266,282.78202533721924
41,-170.00000953674316,-86.06582164764404
42,-110.00000715255737,-18.56254816055298
43,-670.0000095367432,-685.1676332950592
44,19.999988079071045,28.709895610809326
45,-19.9999737739563,-42.83367872238159
46,150.00004291534424,158.059663772583
47,359.99996185302734,342.3369598388672
48,-110.00000715255737,-76.13562822341919
49,-670.0000095367432,-691.4482045173645
50,-610.0000071525574,-618.9382898807526
51,140.0000524520874,143.15731048583984
52,459.99998569488525,449.20260429382324
53,-30.00002384185791,-72.59183406829834
54,-100.00001668930054,-89.97880697250366
55,420.0000238418579,438.497371673584
56,70.0,78.7357759475708
57,7.152557373046875e-06,6.807513236999512
58,-69.99998569488525,2.1457743644714355
59,-350.00001668930054,-211.03554248809814
60,239.99995708465576,254.1496229171753
61,459.99998569488525,428.11352729797363
62,129.99994277954102,142.4271535873413
63,-420.00000953674316,-420.42433500289917
64,119.99995231628418,136.40112400054932
65,570.0,545.7561683654785
66,310.00000953674316,295.47447681427
67,29.99997854232788,17.15273380279541
68,-450.00001072883606,-419.14992809295654
69,-230.00001192092896,-214.72256660461426
70,-389.9999785423279,-406.890504360199
71,219.9999761581421,200.23555278778076
72,440.0000047683716,459.93918895721436
73,-389.9999785423279,-426.925950050354
74,-90.0000262260437,-63.46374034881592
75,109.99996185302734,125.79996109008789
76,260.000057220459,227.11939334869385
77,349.9999713897705,341.6541290283203
78,229.99996662139893,242.10209369659424
79,70.0,98.88941764831543
80,-430.0,-410.1812171936035
81,-40.000014305114746,-51.83040380477905
82,209.99998569488525,220.68411827087402
83,-710.0000011920929,-720.3918474912643
84,-259.99998331069946,-264.48660373687744
85,-369.9999976158142,-374.79721784591675
86,-259.99998331069946,-234.0924072265625
87,70.0,59.42995071411133
88,-150.0000286102295,-131.0960578918457
89,129.99994277954102,131.46776676177979
